case_id,room_type_cases,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,grid_layer_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,snr_db,xpol_coupling_db,eps_r_multiplier_cases,dominant_wall_material_cases,antenna_type,material_name,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,room_type_results,grid_layer_results,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,dominant_wall_material_results,eps_r_multiplier_results
1,B,2.5,2,2.7,1.83333333333333,1.78571428571429,1.2,1,1.65540412340654,25.0250200534645,25.0250200534645,35.6604316741736,37.7308484607883,1.18161275140818,brick,patch_ffd,brick,8,3.4863813229572e-09,4.13800104928615,leading_edge,1,1,R,1,1,2,3.61010065922574,8.25192896279039,5.10582420798486,0.128198523514987,0.00877176713690788,0.301939926202191,1.92974109555864e-08,6.11293796369402e-09,1.14552529182879e-08,0.0763023810386242,3.48638132295721e-09,1.70421826911772,54.0065518663554,6.86455089338551,0.998133359699085,4,98.9097534981762,0.0826053672460692,0,,21,0,2,1,1,0,1.65540412340654,dielectric,0.00313551185735679,0.000621162791084704,0.198105706290755,0,B,1,25.0250200534645,25.0250200534645,brick,1.18161275140818
2,B,2.5,2,2.7,0.944444444444444,3.07142857142857,0.2,1,3.13332287996198,37.0723435277123,37.0723435277123,21.0532488261369,39.8275457604701,1.08586273344216,brick,patch_ffd,brick,18,8.46692607003891e-09,0.935436577484038,leading_edge,1,1,R,1,1,2,2.01791588092777,2.77961873889207,1.39642358562902,0.000911304359621834,0.00922547803951231,0.333910914502346,3.17011298427319e-08,1.35011083814971e-08,2.24124513618677e-08,0.0620458440225467,1.49416342412452e-09,1.64123848437896,41.0490045905938,5.86270302091795,0.988245762786159,5,85.0590962466601,0.0661501882870683,0,,21,0,2,1,0,1,3.13332287996198,dielectric,0.00165656060881971,0.000633432969460919,0.382378384520586,0,B,1,37.0723435277123,37.0723435277123,brick,1.08586273344216
3,A,2.5,2,2.7,4.53917794538941,1.85388511672031,0.65,2,2.89518501171832,44.9217206719848,44.9217206719848,20.2624240652196,33.7455276702054,0.820383229409004,drywall,patch_ffd,drywall,20,9.46303501945525e-09,0.998529001165204,leading_edge,1,1,R,1,1,2,1.26407078953092,0.996269836403125,1.96923657100018,0.00372260674464231,0.0124693929585401,0.325632762549785,2.67327200658328e-08,9.72550482562955e-09,1.89260700389105e-08,0.0560441973998985,2.98832684824904e-09,2.03770818287567,70.3658671446323,7.68119152441995,0.992426388413242,4,120.887734523924,0.0593716329149376,0,,20,0,2,1,0,1,2.89518501171832,dielectric,0.00179281781186685,0.00048058154094729,0.26805932971341,0,A,2,44.9217206719848,44.9217206719848,drywall,0.820383229409004
4,A,2.5,2,2.7,1.36306645784439,3.58736396617248,0.2,2,3.17211951861548,37.9901499127371,37.9901499127371,10.3357068791839,31.0610731638781,0.885712199979298,brick,patch_ffd,brick,18,8.46692607003891e-09,1.00196472183423,leading_edge,1,1,R,1,1,2,1.3353938116478,0.167423122699738,0.653409388661859,0.22913414188245,0.00649806378976557,0.309674224598761,7.82112945482225e-08,3.20723367248063e-08,1.79299610894942e-08,0.0314708069101727,8.46692607003895e-09,1.69008459898032,43.2078078643673,6.09672138425577,0.922022876602617,6,69.6573530436641,0.0324934004413163,0,,23,0,2,1,0,1,3.17211951861548,dielectric,0.00163630002816666,0.000565445595961513,0.34556351905405,0,A,2,37.9901499127371,37.9901499127371,brick,0.885712199979298
5,B,2.5,2,2.7,0.523681019728109,3.69251274308721,0.65,2,3.31254224083188,51.7670642603262,51.7670642603262,29.367126455203,30.3166750960075,1.17324427632457,drywall,patch_ffd,drywall,21,9.96108949416342e-09,1.64880390995305,leading_edge,1,1,R,1,1,2,1.10668551412486,-1.73515122877261,0.925456572094035,0.00245377452379936,0.0134907774695495,0.348214113632299,9.44678948760914e-09,1.04977313931769e-08,1.49416342412451e-08,0.0643775958192108,5.97665369649808e-09,1.78671242681147,67.9925778510626,7.66732066453186,0.999275322453169,2,114.376645150246,0.0688072405401391,0,,16,0,2,1,0,1,3.31254224083188,dielectric,0.00156693526611604,0.000538330177035311,0.34355610514126,0,B,2,51.7670642603262,51.7670642603262,drywall,1.17324427632457
6,B,2.5,2,2.7,2.72222222222222,1.35714285714286,0.2,1,2.59087784779056,15.2202177920417,15.2202177920417,39.00464319879,38.7914464623583,0.8079259140512,glass,patch_ffd,glass,13,5.97665369649805e-09,1.98752442743459,leading_edge,1,1,R,1,1,2,2.27664895549026,4.42227835312586,0.153418341452495,0.173668228528771,0.00698502963079296,0.300601111203564,5.93764295151765e-09,6.32054583229591e-09,1.29494163424125e-08,0.0586365898649358,9.96108949416347e-10,1.70089541519439,48.2774318160806,6.58962536834727,0.999843530015822,3,79.4657897865011,0.0622890046857916,0,,21,0,2,1,0,1,2.59087784779056,dielectric,0.00200339018764814,0.000622246757228127,0.310596887747866,0,B,1,15.2202177920417,15.2202177920417,glass,0.8079259140512
7,B,2.5,2,2.7,0.510635975893179,0.511993127832276,0.2,2,3.5244479953645,44.8194954077812,44.8194954077812,29.8721492655425,21.946540025606,1.16817457770395,wood,patch_ffd,wood,20,9.46303501945525e-09,3.86878580666531,leading_edge,1,1,R,1,1,2,0.421631914070202,-8.78056528066745,0.300793358646373,0.0743669433459744,0.012899493441919,0.308628589987926,1.03775937959237e-08,3.56075502945566e-09,5.97665369649806e-09,0.085280145759133,7.96887159533077e-09,1.95271274605107,95.047463653886,9.30246371639904,0.999281578722804,1,139.217381601087,0.0932308896147308,0,,18,0,2,1,0,1,3.5244479953645,dielectric,0.00147272403068093,0.000600457831089455,0.407719177918097,0,B,2,44.8194954077812,44.8194954077812,wood,1.16817457770395
8,B,2.5,2,2.7,0.305567437085059,0.386409608701658,0.65,2,3.40906266062561,53.0341922697256,53.0341922697256,36.2971971853117,34.1687488442215,0.954370880881107,brick,patch_ffd,brick,20,9.46303501945525e-09,5.23595433018712,leading_edge,1,1,R,1,1,2,0.677441282791831,-5.37178322026374,0.469559772455661,0.0525383562029077,0.0196382397891656,0.388505450833545,5.57692085979867e-09,3.06144001210957e-09,5.97665369649806e-09,0.127660436832773,2.98832684824904e-09,1.71763650782391,91.8395293648454,9.1904122696899,0.999836421150599,1,133.752355896421,0.146342596648113,0,,17,0,2,1,0,1,3.40906266062561,dielectric,0.00152257079859776,0.000480174771353258,0.315371063070094,0,B,2,53.0341922697256,53.0341922697256,brick,0.954370880881107
9,C,2.5,2,2.7,0.469324870197707,2.0343235244519,1.2,2,2.52484050726543,53.5517188043819,53.5517188043819,33.242836211204,21.7089417275198,1.14379555093169,brick,patch_ffd,brick,18,8.46692607003891e-09,2.38223141459687,leading_edge,1,1,R,1,1,2,1.52082432478376,-1.7955983009556,0.869257730894766,0.00273567678274855,0.0117980622432259,0.399614704655502,8.72170071091915e-09,5.77321168614415e-09,1.04591439688716e-08,0.0809677483450458,2.98832684824904e-09,1.76219712177203,50.4382528241328,6.79834620832212,0.999467805958747,4,75.9487930271671,0.0881010956897786,0,,21,0,2,1,0,1,2.52484050726543,dielectric,0.00205578896675744,0.000570431096529265,0.277475512201525,0,C,2,53.5517188043819,53.5517188043819,brick,1.14379555093169
10,B,2.5,2,2.7,0.46303993431324,2.27004729300188,1.2,2,2.54403849217347,53.8703985863295,53.8703985863295,34.874283567919,30.3823728949156,1.19939833399774,brick,patch_ffd,brick,19,8.96498054474708e-09,3.90413172422849,leading_edge,1,1,R,1,1,2,0.698429215116591,-3.66524447954294,0.282583916270951,0.140658755436156,0.0119758495426243,0.30525546435761,6.43639999288572e-09,8.93843773288397e-09,1.24513618677043e-08,0.0538961029770712,2.49027237354087e-09,2.0284816465376,81.2536331764,8.36801082719119,0.99975017232989,4,132.121212880895,0.0569663682251644,0,,21,0,2,1,0,1,2.54403849217347,dielectric,0.00204027544143959,0.000583951592569189,0.286212136218804,0,B,2,53.8703985863295,53.8703985863295,brick,1.19939833399774
11,B,2.5,2,2.7,4.05555555555556,2.21428571428571,0.2,1,2.95223160571231,32.1328585993789,32.1328585993789,24.8976948890502,23.1741142456442,0.829133704443697,drywall,patch_ffd,drywall,19,8.96498054474708e-09,0.544234617036289,leading_edge,1,1,R,1,1,2,2.02747178874266,4.30452073380265,1.76726813615607,0.000160203553413285,0.0079066755624646,0.34489139786607,2.21904790515273e-08,8.34093764387709e-09,1.54396887159533e-08,0.0629951753705038,9.96108949416347e-10,1.67281402323051,43.1728245016192,6.19300621252815,0.99487065384764,4,68.3317130138697,0.0672303639369337,0,,14,1,2,0,0,1,2.95223160571231,dielectric,0,0.000273506843938225,273506843.938225,1,B,1,32.1328585993789,32.1328585993789,drywall,0.829133704443697
12,C,2.5,2,2.7,4.5944862033114,1.40848736780268,0.65,2,2.98985946992677,46.7131774268411,46.7131774268411,16.1708244856233,21.4046511999043,1.08866982828733,glass,patch_ffd,glass,27,1.29494163424125e-08,2.70579351520775,leading_edge,1,1,R,1,1,2,1.99899220001324,2.36568352704381,1.71111079962776,0.200886530946293,0.0102066608972741,0.368585357238202,4.10156211928273e-08,1.24474021452108e-08,1.64357976653696e-08,0.0797282949101358,8.46692607003895e-09,1.59232662859271,48.919689720409,6.64692423781369,0.979073419517542,3,77.232598100656,0.0866356038865178,0,,22,0,2,1,0,1,2.98985946992677,dielectric,0.00173604790120308,0.000637168778051373,0.367022579048547,0,C,2,46.7131774268411,46.7131774268411,glass,1.08866982828733
13,B,2.5,2,2.7,1.83333333333333,3.07142857142857,0.2,1,2.80042918641374,26.7829048021752,26.7829048021752,32.3309260068703,39.4030478404241,1.18551602463468,glass,patch_ffd,glass,17,7.96887159533074e-09,1.67386792284977,leading_edge,1,1,R,1,1,2,1.95915409683042,2.98136040338292,1.3182377121579,0.00147396169314673,0.0154606311384939,0.390279119391348,9.55007274110298e-09,9.1540887354041e-09,1.34474708171206e-08,0.0792434908728358,1.99221789883269e-09,1.65774637074221,63.488122264415,7.51315022925178,0.999228507461994,2,104.344533245891,0.0860634598694882,0,,20,0,2,1,0,1,2.80042918641374,dielectric,0.00185347991759277,0.000719117571798495,0.387982391917392,0,B,1,26.7829048021752,26.7829048021752,glass,1.18551602463468
14,B,2.5,2,2.7,0.526242795158313,2.18292451453991,1.2,2,2.48579542233148,52.8841517814353,52.8841517814353,12.9462806538938,21.0674088679108,0.967315033723307,drywall,patch_ffd,drywall,15,6.9727626459144e-09,1.01556220897465,leading_edge,1,1,R,1,1,2,2.18053250004649,2.06608135423402,1.23014173272538,0.00883545862419244,0.0103772143024612,0.308187391408879,7.38382771586345e-08,2.52927057682328e-08,1.19533073929961e-08,0.0499467632106898,6.97276264591443e-09,1.62702718657892,69.0262708238712,7.55018846931328,0.938912554760801,4,112.316656457135,0.0525725941206033,0,,21,0,2,1,0,1,2.48579542233148,dielectric,0.0020880798198551,0.000472680521561865,0.226370906450629,0,B,2,52.8841517814353,52.8841517814353,drywall,0.967315033723307
15,B,2.5,2,2.7,1.83333333333333,3.5,0.2,1,2.99072640748773,33.2885231343062,33.2885231343062,36.759615692356,26.7752657513595,1.0583298281277,concrete,patch_ffd,concrete,17,7.96887159533074e-09,1.29877257031265,leading_edge,1,1,R,1,1,2,1.76748627725923,1.82772447169065,1.06011061550518,0.0189403423757242,0.0143587303355574,0.365999608479124,8.04425925654402e-09,5.97404265337453e-09,1.49416342412451e-08,0.104671045907529,9.96108949416347e-10,1.67162654058335,60.1627245267846,7.15170567915233,0.999621429398274,3,110.191453649455,0.116907920188538,0,,21,0,2,1,0,1,2.99072640748773,dielectric,0.00173554466388609,0.000648732003951419,0.373791592605189,0,B,1,33.2885231343062,33.2885231343062,concrete,1.0583298281277
16,A,2.5,2,2.7,0.5,1.35714285714286,1.2,1,2.58133014279895,54.472350511533,54.472350511533,24.7533000580467,35.7769735558624,1.08764621003359,concrete,patch_ffd,concrete,14,6.47470817120623e-09,8.45160464077208,leading_edge,1,1,R,1,1,2,0.523280773976674,-6.05040380084665,0.588150653557677,0.0621100055105219,0.0182408206039626,0.341590755295903,1.31824119790505e-08,3.25135231087685e-09,4.48249027237354e-09,0.147069898070144,3.48638132295721e-09,1.6661877007281,108.753183887806,9.89758322200366,0.998579625245065,2,160.703475648525,0.172429015856494,0,,21,0,2,1,0,1,2.58133014279895,dielectric,0.00201080023496352,0.000640588087828793,0.318573708462102,0,A,1,54.472350511533,54.472350511533,concrete,1.08764621003359
17,C,2.5,2,2.7,4.65323016139751,2.63302796632074,1.2,2,2.69946745379457,56.2434587960318,56.2434587960318,16.7161580031233,38.2604124608807,1.04336828560728,glass,patch_ffd,glass,7,2.98832684824903e-09,2.52795986649033,leading_edge,1,1,R,1,1,2,1.40137433351661,1.41214485526272,1.39818698346113,0.00702394007122986,0.00636965753034622,0.33198549843179,5.59304142499503e-08,1.78949554567254e-08,1.84280155642023e-08,0.0354838162580477,2.98832684824904e-09,1.70486555302056,34.5792042643238,5.56056656855012,0.971786592803827,4,59.4115619564269,0.0367892388496626,0,,20,0,2,1,0,1,2.69946745379457,dielectric,0.00192280119931149,0.000688787208639536,0.358220708873165,0,C,2,56.2434587960318,56.2434587960318,glass,1.04336828560728
18,A,2.5,2,2.7,4.46232142339752,2.81197879633992,0.65,2,2.95169695843433,46.0113594292648,46.0113594292648,31.485721514986,25.7251943052233,1.19872132388431,brick,patch_ffd,brick,9,3.98443579766537e-09,3.17787436379433,leading_edge,1,1,R,1,1,2,3.80723538320345,2.01761702437003,0.935278583293697,0.0243856543130417,0.0135769196416495,0.34660051280401,4.15690657085731e-08,1.101611592731e-08,1.4443579766537e-08,0.077289091401279,3.98443579766539e-09,1.61702370121458,57.19543199631,6.82385308425043,0.992495381840087,6,116.181227414156,0.0837630623860884,0,,21,0,2,1,0,1,2.95169695843433,dielectric,0.00175849327717292,0.000579031013681792,0.329276785528963,0,A,2,46.0113594292648,46.0113594292648,brick,1.19872132388431
19,B,2.5,2,2.7,4.52245630005074,2.44124964670515,1.2,2,2.55637061795279,54.0719128784331,54.0719128784331,20.3999540132871,35.8708156025624,0.896527252679351,wood,patch_ffd,wood,10,4.48249027237354e-09,3.86660550477368,leading_edge,1,1,R,1,1,2,7.21251244729619,2.49431363477063,2.00198854164094,0.0113899604049846,0.011844071671119,0.338044783051974,3.54730157672707e-08,7.70374694626387e-09,7.96887159533074e-09,0.0688277853846754,4.48249027237356e-09,1.7584526670469,72.3947037987895,8.08086718340061,0.988128094818735,2,106.548089154463,0.0739152052696383,0,,20,0,2,1,0,1,2.55637061795279,dielectric,0.00203043299794114,0.000622369481963979,0.306520571028476,0,B,2,54.0719128784331,54.0719128784331,wood,0.896527252679351
20,A,2.5,2,2.7,4.05555555555556,1.78571428571429,0.2,1,2.95223160571231,32.1328585993789,32.1328585993789,34.3707554539003,34.3489957712423,0.87558553845931,glass,patch_ffd,glass,19,8.96498054474708e-09,0.953237026478983,leading_edge,1,1,R,1,1,2,4.48492707900709,4.78266939828355,2.20009826132444,0.0109098176414126,0.0088398539605512,0.305089622801755,1.05707008472067e-08,9.2473586281649e-09,2.19143968871595e-08,0.0368395457599353,5.97665369649808e-09,2.36738465495772,50.3915564948114,6.44655890066508,0.999242408493766,4,97.630009819929,0.0382486070703575,0,,21,0,2,1,0,1,2.95223160571231,dielectric,0.0017581748151518,0.000592225364852924,0.33684100110477,0,A,1,32.1328585993789,32.1328585993789,glass,0.87558553845931
21,B,2.5,2,2.7,4.45160687690147,2.82504478527492,0.65,2,2.94821442566148,45.9459917671226,45.9459917671226,23.2623085202132,39.7602748653915,1.11839833585122,wood,patch_ffd,wood,16,7.47081712062257e-09,6.5520560776261,leading_edge,1,1,R,1,1,2,0.520650691737654,-6.4091539970072,0.443229640410471,0.0545637458967247,0.0242733228636548,0.401126633555488,1.35698298800972e-08,3.2570125762029e-09,4.98054474708171e-09,0.169490751905194,3.98443579766539e-09,1.66707210129586,105.571769344334,9.7614635405928,0.998272588979505,3,155.081270302058,0.204080511197204,0,,20,0,2,1,0,1,2.94821442566148,dielectric,0.00176057047020722,0.000401616693235711,0.228117363111538,0,B,2,45.9459917671226,45.9459917671226,wood,1.11839833585122
22,C,2.5,2,2.7,4.05555555555556,0.928571428571429,0.2,1,3.13332287996198,37.0723435277123,37.0723435277123,17.8060546119837,28.8974491037954,1.19569315675668,drywall,patch_ffd,drywall,18,8.46692607003891e-09,1.0772269911784,leading_edge,1,1,R,1,1,2,2.46065274287601,4.59232795534465,0.661924248799287,0.0375141545341154,0.0115099984628108,0.339001844336326,4.76258322739153e-08,1.48272329682996e-08,1.84280155642023e-08,0.0672556001348394,8.46692607003895e-09,1.61753082292557,56.3980650381144,6.93095330301496,0.973456298105697,3,102.958986376052,0.0721050698825552,0,,17,0,2,1,0,1,3.13332287996198,dielectric,0.00165656060881971,0.000662720294642133,0.400057982251744,0,C,1,37.0723435277123,37.0723435277123,drywall,1.19569315675668
23,A,2.5,2,2.7,1.83333333333333,2.64285714285714,1.2,1,1.76286974861074,31.6919067778888,31.6919067778888,28.0936076835808,23.2470434555656,0.881250067525778,concrete,patch_ffd,concrete,9,3.98443579766537e-09,1.63325925922763,leading_edge,1,1,R,1,1,2,1.39670897424852,1.44496184785382,1.05758055690437,0.00416408788077338,0.0130631621475495,0.419606326790548,1.35319637267694e-08,1.12936949707124e-08,1.7431906614786e-08,0.0760141425332914,1.49416342412452e-09,1.62646508801985,45.9251075036952,6.41920346790433,0.998428723030577,4,76.2706375338045,0.0822676471928903,0,,21,0,2,1,1,0,1.76286974861074,dielectric,0.0029443691241222,0.00052488457127827,0.178267244747974,0,A,1,31.6919067778888,31.6919067778888,concrete,0.881250067525778
24,C,2.5,2,2.7,4.5,1.78571428571429,1.2,1,2.50916686717861,53.2869327643463,53.2869327643463,31.3829284039611,37.65611969321,0.966612673199243,glass,patch_ffd,glass,26,1.24513618677043e-08,2.38954866270491,leading_edge,1,1,R,1,1,2,1.62115483619314,0.0973356724219745,1.20958362514782,0.119786317736657,0.0241023777528338,0.447380670174423,9.59336676551473e-09,5.0527953158294e-09,1.59377431906615e-08,0.168709181833651,7.4708171206226e-09,1.60253812536466,65.3428783497132,7.37626291658658,0.999292368008066,5,123.793708107326,0.202948448541495,0,,20,0,2,1,0,1,2.50916686717861,dielectric,0.0020686305584351,0.000646851483270284,0.312695507969109,0,C,1,53.2869327643463,53.2869327643463,glass,0.966612673199243
25,C,2.5,2,2.7,4.7,2,1.2,2,2.66270539113887,55.713123022791,55.713123022791,22.7748439279918,33.5764439534275,0.836778079719169,concrete,patch_ffd,concrete,14,6.47470817120623e-09,8.88970474648312,leading_edge,1,1,R,1,1,2,0.720741435932564,-3.63257568451465,0.486336876378458,0.0220872488615435,0.016239190493887,0.335526633123285,1.54396729196132e-08,4.39124406184576e-09,4.98054474708171e-09,0.129031835051136,9.96108949416347e-10,1.67667932063572,96.0141483534362,9.17216403536926,0.997382358410215,3,148.287141409787,0.148147590513496,0,,21,0,2,1,0,1,2.66270539113887,dielectric,0.00194934793572431,0.000635639016963105,0.326077764422761,0,C,2,55.713123022791,55.713123022791,concrete,0.836778079719169
26,C,2.5,2,2.7,4.61336891052315,3.19586334828242,0.65,2,3.17787937148833,49.8280058322987,49.8280058322987,33.9424358604833,32.9228271625021,0.923153457552796,drywall,patch_ffd,drywall,11,4.98054474708171e-09,3.15568364338858,leading_edge,1,1,R,1,1,2,2.18164085948435,0.26286012684793,1.10134079774366,0.00324916546596332,0.0096513519921069,0.301860418837895,2.10281656718679e-08,6.02199649460961e-09,8.46692607003891e-09,0.0514086198289232,4.98054474708173e-09,1.69715295533184,65.5503769141646,7.53491843086041,0.998067756866727,2,108.88521901486,0.0541946942630363,0,,16,0,2,1,1,0,3.17787937148833,dielectric,0.00163333426190674,0.000324235008820786,0.198511117033863,0,C,2,49.8280058322987,49.8280058322987,drywall,0.923153457552796
27,B,2.5,2,2.7,4.56083490313109,2.02178999342547,1.2,2,2.54902242080701,53.9521358738417,53.9521358738417,11.3321942536474,39.8853628026386,0.841503581959001,drywall,patch_ffd,drywall,12,5.47859922178988e-09,6.0114780753407,leading_edge,1,1,R,1,1,2,2.5942582259034,2.17341086986415,0.41145481890241,0.439881465926873,0.0110363516825153,0.307054151264099,6.71338924172598e-08,1.79208398984598e-08,6.47470817120623e-09,0.0841172895296812,5.47859922178991e-09,1.71110526905031,82.5385820198869,8.50384950159074,0.948847441804322,3,120.33409588761,0.0918428621569739,0,,20,0,2,1,0,1,2.54902242080701,dielectric,0.0020362862308662,0.00061302442170992,0.301050221927371,0,B,2,53.9521358738417,53.9521358738417,drywall,0.841503581959001
28,A,2.5,2,2.7,2.74944267521182,3.50775314620487,1.2,2,2.14138768047907,45.5344444329573,45.5344444329573,21.5320127126053,26.274395326039,0.845852335340061,glass,patch_ffd,glass,11,4.98054474708171e-09,1.70529157458749,leading_edge,1,1,R,1,1,2,1.94061309033618,3.61573450353993,1.52812413059468,0.010531461857758,0.0188306263178568,0.456627028040886,2.76943094447715e-08,8.34950763400367e-09,1.4443579766537e-08,0.122480511408541,1.49416342412452e-09,1.63609867259197,52.6761904499244,6.73649374407092,0.991789214716115,4,92.8398973614281,0.139575830509633,0,,23,0,2,1,0,1,2.14138768047907,dielectric,0.00242391385033901,0.000690168932385332,0.284733276427628,0,A,2,45.5344444329573,45.5344444329573,glass,0.845852335340061
29,A,2.5,2,2.7,1.87085788635068,3.66823487183703,0.65,2,2.71685983936975,41.0141465464405,41.0141465464405,11.3935864747763,26.8010654566536,1.04804152088604,glass,patch_ffd,glass,15,6.9727626459144e-09,1.88233488468767,leading_edge,1,1,R,1,1,2,1.60801902427401,1.31777883089001,0.483821831825822,0.028478594825573,0.0131849891403872,0.347002935685073,6.42167541890678e-08,2.4838014387847e-08,1.69338521400778e-08,0.0676220947744653,5.97665369649808e-09,1.63901841782818,69.536121283328,7.65498857358979,0.953640893143671,4,112.565833929424,0.072526487806581,0,,23,0,2,1,0,1,2.71685983936975,dielectric,0.00191049209916645,0.000717331019414418,0.375469241525464,0,A,2,41.0141465464405,41.0141465464405,glass,1.04804152088604
30,B,2.5,2,2.7,0.387481279063592,3.55018665441232,0.65,2,3.32690757458407,51.9617181830281,51.9617181830281,13.7264928655835,24.6731114401017,0.847474879988665,glass,patch_ffd,glass,38,1.84280155642023e-08,2.39475712416225,leading_edge,1,1,R,1,1,2,1.8871756855414,-1.01017334290854,0.695769455247581,0.00489647824390727,0.0151057620769806,0.34976871112531,3.87623232071601e-08,7.57774531049918e-09,5.97665369649805e-09,0.10240940202866,1.04591439688716e-08,1.70196862517154,86.0846136175932,8.72327710499155,0.982666427151853,4,126.932794491131,0.114093666154834,0,,17,0,2,1,0,1,3.32690757458407,dielectric,0.00156016935886999,0.000530769050005438,0.34019963729442,0,B,2,51.9617181830281,51.9617181830281,glass,0.847474879988665
31,A,2.5,2,2.7,3.61111111111111,0.928571428571429,0.2,1,2.93811624768457,31.6919067778889,31.6919067778889,19.4389357249078,33.3612327793584,0.900553418508881,glass,patch_ffd,glass,27,1.29494163424125e-08,1.88520748618663,leading_edge,1,1,R,1,1,2,2.2527216162033,3.61051933391659,5.30982353122489,0.197342545274069,0.00918162792655295,0.300461863382337,3.57063822139382e-08,1.19172468339675e-08,1.29494163424125e-08,0.0658368792391052,7.96887159533077e-09,1.56469929508723,62.6300683628234,7.42175742603015,0.984805026296131,3,104.552420498533,0.07047685546126,0,,22,0,2,1,0,1,2.93811624768457,dielectric,0.00176662147447332,0.000603795521798589,0.341779792968155,0,A,1,31.6919067778889,31.6919067778889,glass,0.900553418508881
32,B,2.5,2,2.7,4.53525546879928,0.550797741125217,0.2,2,3.53446629781713,44.9826908290884,44.9826908290884,17.1322162703755,38.9989186810431,0.880995339157947,drywall,patch_ffd,drywall,20,9.46303501945525e-09,0.468366241608192,leading_edge,1,1,R,1,1,2,3.67051562017026,4.08655532499986,1.19912230809177,0.00940555831387369,0.0122776407903246,0.356477835804716,5.18896802311492e-08,1.50597768473082e-08,1.84280155642023e-08,0.0864657867185876,6.97276264591443e-09,1.67764431190652,60.5545078493514,7.28264063106644,0.968369704926327,2,99.3214320096414,0.0946497519868497,0,,18,0,2,1,0,1,3.53446629781713,dielectric,0.00146854965369572,0.000521342314155055,0.355004894007538,0,B,2,44.9826908290884,44.9826908290884,drywall,0.880995339157947
33,B,2.5,2,2.7,4.29170127034329,0.485341768326387,1.2,2,2.78466928035025,57.4072889271238,57.4072889271238,30.1934477465634,27.3543641536591,0.938073522687739,brick,patch_ffd,brick,15,6.9727626459144e-09,2.70468571096524,leading_edge,1,1,R,1,1,2,0.979772005347224,-0.782209118694577,0.730359666242047,0.0959811529736558,0.0130617022161636,0.319252555588962,1.26889379446958e-08,6.26558469689188e-09,7.96887159533074e-09,0.0621278933135989,4.98054474708173e-09,1.61254088562252,77.3516390675594,8.09149315359014,0.998873050108673,3,131.741962356793,0.0662434599245127,0,,20,0,2,1,0,1,2.78466928035025,dielectric,0.0018639697339591,0.000508536032634037,0.272824189883115,0,B,2,57.4072889271238,57.4072889271238,brick,0.938073522687739
34,B,2.5,2,2.7,4.62159291145925,3.60365577140122,1.2,2,3.05333724228139,60.5761905745552,60.5761905745552,24.922521847489,20.24340919492,0.860838960970667,wood,patch_ffd,wood,18,8.46692607003891e-09,5.09456719681348,leading_edge,1,1,R,1,1,2,0.391830537119912,-8.26611117942541,0.555757923343109,0.000319189642321249,0.0329365297414248,0.454579158594112,1.04500229126407e-08,2.71410481402773e-09,4.48249027237354e-09,0.219582350136997,9.96108949416347e-10,1.63597540478315,115.05032561662,10.2925839180072,0.998991775886084,2,163.852062655459,0.281365176935123,0,,16,0,2,1,0,1,3.05333724228139,dielectric,0.00169995609583574,0.000363763450959667,0.21398402691149,0,B,2,60.5761905745552,60.5761905745552,wood,0.860838960970667
35,B,2.5,2,2.7,4.05555555555556,2.64285714285714,0.2,1,3.01380463742131,33.9509201057552,33.9509201057552,16.5779433010049,36.4934194027095,1.15912587611391,drywall,patch_ffd,drywall,22,1.04591439688716e-08,0.942307042908765,leading_edge,1,1,R,1,1,2,1.61034891802244,-0.97707680060505,0.700947327242671,0.00702928934354941,0.0110295396147843,0.308834358925509,4.79582841181349e-08,1.46719658091089e-08,1.04591439688716e-08,0.0600854568076103,5.47859922178991e-09,1.63347031204223,74.169022726523,7.99680521990896,0.97573633085378,4,118.877394325451,0.0639265103862867,0,,17,1,2,0,0,1,3.01380463742131,dielectric,0,0.000386671679817653,386671679.817653,1,B,1,33.9509201057552,33.9509201057552,drywall,1.15912587611391
